,asset,amount,count,usd,tx_size
5,RAY,167.61901390079365,303,3.1,519.6189430924603
6,SBR,47126.51812571753,958,0.04195537,1977.2105047761854
10,scnSOL,27.209307278579967,637,94.63,2574.816747772022
7,SOL,58.34277453970876,6277,92.25,5382.120951288133
4,MNGO,34695.627562487345,376,0.17363,6024.201813674678
3,LUNA,170.89709860759496,1555,52.36,8948.172083093672
2,FTT,208.0923605633383,823,43.45,9041.61306647705
9,mSOL,135.51977361498703,1949,95.08,12885.220075312967
1,ETH,6.3621800718085115,532,2810.96,17883.833694650853
8,SRM,8639.816430529763,652,2.17,18748.401654249585
0,BTC,1.2602571853035143,873,40285.0,50769.46070995207
