,asset,usd,epoch,amount,amt_usd
0,ETH,2820.54,Epoch 2 - 2021-12-24,2.043538,5763.8806705199995
1,ETH,2820.54,Epoch 4 - 2022-01-07,67.25191299999999,189686.71069301997
2,ETH,2820.54,Epoch 5 - 2022-01-14,154.671616,436257.47979264
3,ETH,2820.54,Epoch 6 - 2022-01-21,201.824095,569252.9329113
4,ETH,2820.54,Epoch 7 - 2022-01-28,544.984276,1537149.94982904
5,ETH,2820.54,Epoch 8 - 2022-02-04,801.998389,2262068.53611006
6,ETH,2820.54,Epoch 9 - 2022-02-11,183.514984,517611.35297136
7,ETH,2820.54,Epoch 10 - 2022-02-18,6.778403,19118.75679762
8,SOL,92.3,Epoch 1 - 2021-12-17,2136.826015359,197229.04121763568
9,SOL,92.3,Epoch 2 - 2021-12-24,9483.165589812,875296.1839396476
10,SOL,92.3,Epoch 3 - 2021-12-31,6741.104137798,622203.9119187554
11,SOL,92.3,Epoch 4 - 2022-01-07,23061.900171486,2128613.3858281574
12,SOL,92.3,Epoch 5 - 2022-01-14,35383.22813555,3265871.956911265
13,SOL,92.3,Epoch 6 - 2022-01-21,57099.401548311,5270274.762909105
14,SOL,92.3,Epoch 7 - 2022-01-28,82182.216085554,7585418.544696634
15,SOL,92.3,Epoch 8 - 2022-02-04,93017.358004139,8585502.143782029
16,SOL,92.3,Epoch 9 - 2022-02-11,26823.245197004,2475785.531683469
17,SOL,92.3,Epoch 10 - 2022-02-18,17663.180943153,1630311.6010530216
18,LUNA,52.22,Epoch 2 - 2021-12-24,11.245482999999998,587.2391222599999
19,LUNA,52.22,Epoch 3 - 2021-12-31,99.90999,5217.2996778
20,LUNA,52.22,Epoch 4 - 2022-01-07,10638.551865,555545.1783902999
21,LUNA,52.22,Epoch 5 - 2022-01-14,30192.660462,1576660.72932564
22,LUNA,52.22,Epoch 6 - 2022-01-21,34176.866071000004,1784715.9462276201
23,LUNA,52.22,Epoch 7 - 2022-01-28,39148.96367,2044358.8828474
24,LUNA,52.22,Epoch 8 - 2022-02-04,13705.552964,715703.97578008
25,LUNA,52.22,Epoch 9 - 2022-02-11,10632.152372,555210.99686584
26,LUNA,52.22,Epoch 10 - 2022-02-18,849.591591,44365.67288202
27,FTT,43.51,Epoch 2 - 2021-12-24,714.099293,31070.460238429998
28,FTT,43.51,Epoch 3 - 2021-12-31,328.58448599999997,14296.710985859998
29,FTT,43.51,Epoch 4 - 2022-01-07,27675.856289,1204176.5071343898
30,FTT,43.51,Epoch 5 - 2022-01-14,25227.615577999997,1097653.5537987798
31,FTT,43.51,Epoch 6 - 2022-01-21,16482.449248,717151.36678048
32,FTT,43.51,Epoch 7 - 2022-01-28,9420.235422,409874.44321122
33,FTT,43.51,Epoch 8 - 2022-02-04,10734.032870000001,467037.7701737
34,FTT,43.51,Epoch 9 - 2022-02-11,9119.584883,396793.13825932995
35,FTT,43.51,Epoch 10 - 2022-02-18,2101.494584,91436.02934984
36,BTC,40277.0,Epoch 1 - 2021-12-17,0.99,39874.23
37,BTC,40277.0,Epoch 3 - 2021-12-31,123.374906,4969171.088962
38,BTC,40277.0,Epoch 4 - 2022-01-07,152.551617,6144321.477909
39,BTC,40277.0,Epoch 5 - 2022-01-14,48.294765999999996,1945168.2901819998
40,BTC,40277.0,Epoch 6 - 2022-01-21,49.711042,2002211.638634
41,BTC,40277.0,Epoch 7 - 2022-01-28,93.612319,3770423.372363
42,BTC,40277.0,Epoch 8 - 2022-02-04,214.34483500000002,8633166.919295
43,BTC,40277.0,Epoch 9 - 2022-02-11,71.624521,2884820.8323170003
44,BTC,40277.0,Epoch 10 - 2022-02-18,8.992621,362195.796017
