,asset,date,count
0,BTC,2021-12-28,35
1,BTC,2021-12-29,22
2,BTC,2021-12-30,17
3,BTC,2021-12-31,20
4,BTC,2022-01-01,1
5,BTC,2022-01-03,2
6,BTC,2022-01-04,1
7,BTC,2022-01-05,1
8,BTC,2022-01-07,2
9,BTC,2022-01-08,3
10,BTC,2022-01-09,7
11,BTC,2022-01-12,2
12,BTC,2022-01-13,5
13,BTC,2022-01-14,2
14,BTC,2022-01-15,1
15,BTC,2022-01-17,9
16,BTC,2022-01-18,2
17,BTC,2022-01-19,2
18,BTC,2022-01-21,3
19,BTC,2022-01-22,2
20,BTC,2022-01-23,1
21,BTC,2022-01-25,3
22,BTC,2022-01-26,1
23,BTC,2022-01-28,1
24,BTC,2022-01-29,1
25,BTC,2022-01-30,5
26,BTC,2022-01-31,2
27,BTC,2022-02-03,4
28,BTC,2022-02-04,4
29,BTC,2022-02-05,1
30,BTC,2022-02-07,1
31,BTC,2022-02-08,2
32,BTC,2022-02-11,2
33,BTC,2022-02-12,1
34,BTC,2022-02-13,1
35,BTC,2022-02-14,1
36,BTC,2022-02-15,1
37,BTC,2022-02-16,1
38,BTC,2022-02-17,4
39,BTC,2022-02-18,2
40,ETH,2022-01-30,17
41,ETH,2022-01-31,9
42,ETH,2022-02-01,5
43,ETH,2022-02-02,8
44,ETH,2022-02-03,6
45,ETH,2022-02-04,9
46,ETH,2022-02-05,1
47,ETH,2022-02-06,1
48,ETH,2022-02-07,3
49,ETH,2022-02-08,1
50,ETH,2022-02-09,2
51,ETH,2022-02-10,1
52,ETH,2022-02-11,3
53,ETH,2022-02-12,2
54,ETH,2022-02-13,2
55,ETH,2022-02-14,3
56,ETH,2022-02-15,1
57,ETH,2022-02-16,1
58,ETH,2022-02-17,2
59,ETH,2022-02-18,6
60,LUNA,2022-01-16,30
61,LUNA,2022-01-17,25
62,LUNA,2022-01-18,12
63,LUNA,2022-01-19,12
64,LUNA,2022-01-20,9
65,LUNA,2022-01-21,14
66,LUNA,2022-01-22,3
67,LUNA,2022-01-23,3
68,LUNA,2022-01-24,3
69,LUNA,2022-01-25,6
70,LUNA,2022-01-26,4
71,LUNA,2022-01-27,4
72,LUNA,2022-01-28,4
73,LUNA,2022-01-29,10
74,LUNA,2022-01-30,5
75,LUNA,2022-01-31,2
76,LUNA,2022-02-01,7
77,LUNA,2022-02-02,5
78,LUNA,2022-02-03,3
79,LUNA,2022-02-04,5
80,LUNA,2022-02-06,10
81,LUNA,2022-02-07,2
82,LUNA,2022-02-08,5
83,LUNA,2022-02-09,7
84,LUNA,2022-02-10,7
85,LUNA,2022-02-11,8
86,LUNA,2022-02-12,5
87,LUNA,2022-02-13,2
88,LUNA,2022-02-14,10
89,LUNA,2022-02-15,10
90,LUNA,2022-02-16,6
91,LUNA,2022-02-17,18
92,LUNA,2022-02-18,10
93,MNGO,2021-12-28,29
94,MNGO,2021-12-29,15
95,MNGO,2021-12-30,15
96,MNGO,2021-12-31,6
97,MNGO,2022-01-01,8
98,MNGO,2022-01-02,3
99,MNGO,2022-01-03,3
100,MNGO,2022-01-04,3
101,MNGO,2022-01-05,2
102,MNGO,2022-01-06,4
103,MNGO,2022-01-07,1
104,MNGO,2022-01-08,4
105,MNGO,2022-01-09,5
106,MNGO,2022-01-10,8
107,MNGO,2022-01-11,3
108,MNGO,2022-01-12,2
109,MNGO,2022-01-13,1
110,MNGO,2022-01-14,3
111,MNGO,2022-01-15,1
112,MNGO,2022-01-16,1
113,MNGO,2022-01-17,6
114,MNGO,2022-01-18,1
115,MNGO,2022-01-19,2
116,MNGO,2022-01-20,2
117,MNGO,2022-01-21,1
118,MNGO,2022-01-25,3
119,MNGO,2022-01-26,2
120,MNGO,2022-01-27,1
121,MNGO,2022-01-28,2
122,MNGO,2022-01-30,1
123,MNGO,2022-02-03,1
124,MNGO,2022-02-05,12
125,MNGO,2022-02-06,12
126,MNGO,2022-02-07,7
127,MNGO,2022-02-08,7
128,MNGO,2022-02-09,8
129,MNGO,2022-02-10,19
130,MNGO,2022-02-11,22
131,MNGO,2022-02-13,4
132,MNGO,2022-02-14,4
133,MNGO,2022-02-15,4
134,MNGO,2022-02-16,12
135,MNGO,2022-02-17,13
136,MNGO,2022-02-18,7
137,SOL,2021-12-28,81
138,SOL,2021-12-29,80
139,SOL,2021-12-30,75
140,SOL,2021-12-31,68
141,SOL,2022-01-01,84
142,SOL,2022-01-02,147
143,SOL,2022-01-03,109
144,SOL,2022-01-04,109
145,SOL,2022-01-05,62
146,SOL,2022-01-06,46
147,SOL,2022-01-07,39
148,SOL,2022-01-08,1
149,SOL,2022-01-10,10
150,SOL,2022-01-11,45
151,SOL,2022-01-12,59
152,SOL,2022-01-13,49
153,SOL,2022-01-14,62
154,SOL,2022-01-15,45
155,SOL,2022-01-16,51
156,SOL,2022-01-17,41
157,SOL,2022-01-18,45
158,SOL,2022-01-19,45
159,SOL,2022-01-20,43
160,SOL,2022-01-21,46
161,SOL,2022-01-22,16
162,SOL,2022-01-23,19
163,SOL,2022-01-24,61
164,SOL,2022-01-25,175
165,SOL,2022-01-26,56
166,SOL,2022-01-27,55
167,SOL,2022-01-28,39
168,SOL,2022-01-29,18
169,SOL,2022-01-30,30
170,SOL,2022-01-31,18
171,SOL,2022-02-01,19
172,SOL,2022-02-02,31
173,SOL,2022-02-03,17
174,SOL,2022-02-04,35
175,SOL,2022-02-05,12
176,SOL,2022-02-06,16
177,SOL,2022-02-07,15
178,SOL,2022-02-08,12
179,SOL,2022-02-09,13
180,SOL,2022-02-10,14
181,SOL,2022-02-11,12
182,SOL,2022-02-12,13
183,SOL,2022-02-13,8
184,SOL,2022-02-14,11
185,SOL,2022-02-15,8
186,SOL,2022-02-16,6
187,SOL,2022-02-17,9
188,SOL,2022-02-18,9
189,SOL (tsUSDC),2022-02-02,1
190,SOL (tsUSDC),2022-02-05,24
191,SOL (tsUSDC),2022-02-06,27
192,SOL (tsUSDC),2022-02-07,6
193,SOL (tsUSDC),2022-02-08,14
194,SOL (tsUSDC),2022-02-09,8
195,SOL (tsUSDC),2022-02-10,8
196,SOL (tsUSDC),2022-02-11,5
197,SOL (tsUSDC),2022-02-12,3
198,SOL (tsUSDC),2022-02-13,3
199,SOL (tsUSDC),2022-02-14,1
200,SOL (tsUSDC),2022-02-15,2
201,SOL (tsUSDC),2022-02-16,3
202,SOL (tsUSDC),2022-02-17,4
203,SOL (tsUSDC),2022-02-18,2
