,date,epoch,amount,asset,amt_usd
0,2021-12-28,Epoch 1 - 2021-12-28,6854.191069,BTC,6854.191069
1,2021-12-28,Epoch 1 - 2021-12-28,90630.39339,MNGO,90630.39339
2,2021-12-28,Epoch 1 - 2021-12-28,109174.768769,SOL,109174.768769
3,2022-01-04,Epoch 2 - 2022-01-04,73834.965234,BTC,73834.965234
4,2022-01-04,Epoch 2 - 2022-01-04,4558.32892,MNGO,4558.32892
5,2022-01-04,Epoch 2 - 2022-01-04,117554.912422,SOL,117554.912422
6,2022-01-11,Epoch 3 - 2022-01-11,1212297.8765989998,BTC,1212297.8765989998
7,2022-01-11,Epoch 3 - 2022-01-11,74382.865615,MNGO,74382.865615
8,2022-01-11,Epoch 3 - 2022-01-11,2748312.04405,SOL,2748312.04405
9,2022-01-18,Epoch 4 - 2022-01-18,51989.190072,BTC,51989.190072
10,2022-01-18,Epoch 4 - 2022-01-18,463.434937,LUNA,463.434937
11,2022-01-18,Epoch 4 - 2022-01-18,162291.00356100002,MNGO,162291.00356100002
12,2022-01-18,Epoch 4 - 2022-01-18,741606.849909,SOL,741606.849909
13,2022-01-25,Epoch 5 - 2022-01-25,47006.56834,BTC,47006.56834
14,2022-01-25,Epoch 5 - 2022-01-25,97531.614227,LUNA,97531.614227
15,2022-01-25,Epoch 5 - 2022-01-25,100797.357026,MNGO,100797.357026
16,2022-01-25,Epoch 5 - 2022-01-25,5108826.482537,SOL,5108826.482537
17,2022-02-01,Epoch 6 - 2022-02-01,2724.908548,BTC,2724.908548
18,2022-02-01,Epoch 6 - 2022-02-01,116362.976576,ETH,116362.976576
19,2022-02-01,Epoch 6 - 2022-02-01,82689.746699,LUNA,82689.746699
20,2022-02-01,Epoch 6 - 2022-02-01,105215.709961,MNGO,105215.709961
21,2022-02-01,Epoch 6 - 2022-02-01,1903605.8173139999,SOL,1903605.8173139999
22,2022-02-01,Epoch 6 - 2022-02-01,12211.226771,SOL (tsUSDC),12211.226771
23,2022-02-08,Epoch 7 - 2022-02-08,65831.761357,BTC,65831.761357
24,2022-02-08,Epoch 7 - 2022-02-08,112235.458296,ETH,112235.458296
25,2022-02-08,Epoch 7 - 2022-02-08,118442.611345,LUNA,118442.611345
26,2022-02-08,Epoch 7 - 2022-02-08,150676.456454,MNGO,150676.456454
27,2022-02-08,Epoch 7 - 2022-02-08,1159130.682272,SOL,1159130.682272
28,2022-02-08,Epoch 7 - 2022-02-08,9825.189439,SOL (tsUSDC),9825.189439
29,2022-02-15,Epoch 8 - 2022-02-15,8500.36745,BTC,8500.36745
30,2022-02-15,Epoch 8 - 2022-02-15,3267.535994,ETH,3267.535994
31,2022-02-15,Epoch 8 - 2022-02-15,28641.50053,LUNA,28641.50053
32,2022-02-15,Epoch 8 - 2022-02-15,26767.282788,MNGO,26767.282788
33,2022-02-15,Epoch 8 - 2022-02-15,586722.4851609999,SOL,586722.4851609999
34,2022-02-15,Epoch 8 - 2022-02-15,154569.31681,SOL (tsUSDC),154569.31681
